项目,装机,投资,煤耗成本,年运行成本,总发电量,弃电量
火电,8400,34346666.666666664,5382828813.892472,25319926.476497687,28133251.640552994,0.0
新能源,21700,84000000.0,0.0,25390696.46175116,27598583.11059908,7387509.546082949
风电,8410,50400000.0,0.0,0.0,0.0,0.0
光伏,13290,33600000.0,0.0,0.0,0.0,0.0
合计,30100,118346666.66666666,5382828813.892472,50710622.93824884,55731834.75115207,7387509.546082949
