节点,项目    ,max               ,min               ,ave               ,24小时总计            ,1h                ,2h                ,3h                ,4h                ,5h                ,6h                ,7h                ,8h                ,9h                ,10h               ,11h               ,12h               ,13h               ,14h               ,15h               ,16h               ,17h               ,18h               ,19h               ,20h               ,21h               ,22h              ,23h               ,24h
3 ,电力盈余  ,616.0             ,0                 ,25.666666666666668,616.0             ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,616.0             ,0                 ,0                 ,0                 ,0                 ,0                ,0                 ,0
3 ,新能源弃电 ,616.0             ,0                 ,25.666666666666668,616.0             ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,616.0             ,0                 ,0                 ,0                 ,0                 ,0                ,0                 ,0
4 ,负荷    ,0                 ,0                 ,0.0               ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                ,0                 ,0
4 ,线潮L4-2,1123.9234276622299,446.1150341051635 ,696.209661587951  ,16709.031878110825,639.4613865811631 ,565.4973518572799 ,565.4973518572799 ,542.264421044851  ,446.1150341051635 ,543.3072350137987 ,564.5601954639477 ,542.1011573434376 ,792.2859691341004 ,785.7513370301177 ,726.977751425913  ,768.6714474608318 ,1064.5812629271134,1123.9234276622299,976.197179275283  ,597.0604333139121 ,630.5166938531203 ,821.0931757694411 ,689.9143801335366 ,701.5069580201374 ,693.9175288267268 ,671.7456349737123,616.6231784565643 ,639.4613865811631
4 ,线潮L5-4,649.3990654002589 ,14.568686273916757,165.89149133703566,3981.395792088856 ,129.40571930622752,105.45192288966597,105.45192288966597,94.71981954122448 ,14.568686273916757,94.76254935594599 ,105.51486865387625,97.556936718582   ,176.70579903507058,167.6700303895069 ,137.39781663027762,205.5983531003856 ,453.505129886723  ,649.3990654002589 ,398.11766381675017,30.949040943075893,65.40547544069727 ,290.00707610942015,84.80395583226051 ,127.42824646614845,105.83648580903751,94.6656300280515 ,117.06787826585926,129.40571930622752
4 ,火电装机  ,1500              ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                 ,                  ,
4 ,新能源装机 ,2170              ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                 ,                  ,
4 ,风电装机  ,1000              ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                 ,                  ,
4 ,光伏装机  ,1170              ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                 ,                  ,
4 ,火电出力  ,1230.0            ,630.0             ,966.875           ,23205.0           ,1020.0            ,920.0             ,920.0             ,880.0             ,780.0             ,880.0             ,918.0             ,880.0             ,1230.0            ,1230.0            ,1130.0            ,1080.0            ,1180.0            ,861.0             ,1030.0            ,630.0             ,630.0             ,800.0             ,930.0             ,1080.0            ,1116.0            ,1080.0           ,980.0             ,1020.0
